%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1517122727524132472,46135,1517122727523374421,gps,-0.0055785490307,0.00902770950008,0.708891577905,0.705237627347,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01249,0.00461,0.02145,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.8903,-0.0977,10.1035,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727533474586,46136,1517122727533239809,gps,-0.00552742629351,0.00910218219075,0.708968541002,0.705159702271,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01845,0.0032,0.02208,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1301,0.0213,10.1513,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727543390057,46137,1517122727543217467,gps,-0.00546376342831,0.00915606133281,0.709063380954,0.70506413582,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01803,-0.00094,0.01848,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9611,-0.0325,9.6911,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727553683821,46138,1517122727553529022,gps,-0.00535953681231,0.0092201538585,0.709134811135,0.704992257947,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.02438,-0.00582,0.02055,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.7609,-0.1863,9.7823,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727563325744,46139,1517122727563174313,gps,-0.0052811069317,0.00926543367869,0.709208940966,0.704917682926,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01818,-0.00487,0.02119,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0874,-0.0518,10.3591,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727573306704,46140,1517122727573170279,gps,-0.00522916078433,0.00927702504445,0.709288435494,0.704837930278,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01022,-0.00534,0.01436,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9987,-0.0034,10.0662,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727583770253,46141,1517122727583271075,gps,-0.00512573367151,0.00925330758915,0.709387414681,0.704739383776,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01209,-0.01818,0.02787,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.8794,-0.1032,9.5412,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727593438571,46142,1517122727593198271,gps,-0.0050462501773,0.00926484134885,0.709442935772,0.704683914217,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01326,-0.00969,0.01584,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9131,-0.0283,9.7424,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727603336382,46143,1517122727603167555,gps,-0.00499996795487,0.00922474295776,0.709537172314,0.704589884644,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00213,-0.01185,0.01866,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.8811,-0.1256,9.9199,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727613515693,46144,1517122727613264241,gps,-0.00493713120945,0.0091947854917,0.709606960138,0.704520434607,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.0052,-0.01331,0.01971,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0691,-0.2607,9.5116,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727623379360,46145,1517122727623210738,gps,-0.00483295359079,0.00916303889458,0.709652464493,0.704475734796,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01059,-0.01927,0.01271,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.8917,-0.2371,9.1914,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727633720695,46146,1517122727633345796,gps,-0.00477362202091,0.00916674434141,0.709764765827,0.704362946584,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01037,-0.00757,0.02439,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.685,-0.354,9.478,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727643449764,46147,1517122727643250519,gps,-0.00470833929532,0.00916196767661,0.709829977786,0.70429773003,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.009,-0.01012,0.01852,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.946,-0.2309,9.5189,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727653478375,46148,1517122727653260659,gps,-0.00464078117421,0.00919342166247,0.709871826936,0.704255588171,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01441,-0.00518,0.01197,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.7722,-0.2505,9.4464,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727663373289,46149,1517122727663180546,gps,-0.00455250675916,0.00921551668296,0.70995428392,0.704172751303,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01672,-0.0091,0.01635,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.6591,-0.3651,9.1612,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727673421972,46150,1517122727673241817,gps,-0.00451017472093,0.009245767939,0.710005290068,0.704121198498,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01063,-0.00182,0.01465,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.7897,-0.1825,9.3764,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727683402166,46151,1517122727683186385,gps,-0.00446935797156,0.00933265175973,0.710044632095,0.704080639475,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01843,0.00641,0.01157,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.8368,-0.1066,9.9611,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727693368847,46152,1517122727693173470,gps,-0.00444421645954,0.00937832941604,0.710105979811,0.704018318876,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01102,0.0032,0.0109,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.8503,-0.2421,9.7621,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727703477117,46153,1517122727703247271,gps,-0.00442499465315,0.00939321111082,0.710170544838,0.703953112254,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00539,-0.00075,0.0185,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.7379,-0.1548,9.6187,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727713478695,46154,1517122727713207965,gps,-0.00439121410313,0.0094553094489,0.710213710433,0.703908942886,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.0139,0.00388,0.0125,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.6862,-0.0431,9.691,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727723435662,46155,1517122727723231227,gps,-0.0043799439181,0.00955266422683,0.710313395378,0.703807106417,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01676,0.01274,0.02158,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.7466,-0.0897,9.9604,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727733684645,46156,1517122727733414553,gps,-0.00431337898228,0.00960938317773,0.7103379658,0.703781946955,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01761,-0.00142,0.00722,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.6526,-0.192,9.7019,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727743465187,46157,1517122727743254561,gps,-0.00432151057779,0.00963792367736,0.710405129993,0.703713710434,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00352,0.00496,0.01928,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.5934,-0.1373,9.8206,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
